Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,index_name
2022-11-15 00:00:00+09:00,27940.259765625,28038.630859375,27903.26953125,27990.169921875,71200000,0.0,0.0,Nikkei 225
2022-11-16 00:00:00+09:00,28020.490234375,28069.25,27743.150390625,28028.30078125,73200000,0.0,0.0,Nikkei 225
2022-11-17 00:00:00+09:00,27952.2109375,28029.619140625,27910.009765625,27930.5703125,58900000,0.0,0.0,Nikkei 225
2022-11-18 00:00:00+09:00,28009.8203125,28045.439453125,27877.779296875,27899.76953125,64800000,0.0,0.0,Nikkei 225
2022-11-21 00:00:00+09:00,27982.0,28007.060546875,27846.30078125,27944.7890625,56500000,0.0,0.0,Nikkei 225
2022-11-22 00:00:00+09:00,28059.509765625,28203.349609375,28038.16015625,28115.740234375,75900000,0.0,0.0,Nikkei 225
2022-11-24 00:00:00+09:00,28373.720703125,28502.2890625,28363.66015625,28383.08984375,83900000,0.0,0.0,Nikkei 225
2022-11-25 00:00:00+09:00,28398.76953125,28399.880859375,28263.599609375,28283.029296875,56800000,0.0,0.0,Nikkei 225
2022-11-28 00:00:00+09:00,28220.560546875,28238.5,28046.3203125,28162.830078125,64600000,0.0,0.0,Nikkei 225
2022-11-29 00:00:00+09:00,27991.5,28055.91015625,27899.98046875,28027.83984375,64800000,0.0,0.0,Nikkei 225
2022-11-30 00:00:00+09:00,27886.669921875,27972.890625,27802.7109375,27968.990234375,106600000,0.0,0.0,Nikkei 225
2022-12-01 00:00:00+09:00,28273.130859375,28423.4609375,28226.080078125,28226.080078125,71400000,0.0,0.0,Nikkei 225
2022-12-02 00:00:00+09:00,27983.1796875,27983.1796875,27662.119140625,27777.900390625,79400000,0.0,0.0,Nikkei 225
2022-12-05 00:00:00+09:00,27752.990234375,27854.109375,27700.859375,27820.400390625,63900000,0.0,0.0,Nikkei 225
2022-12-06 00:00:00+09:00,27704.060546875,27934.0703125,27698.310546875,27885.869140625,60400000,0.0,0.0,Nikkei 225
